station,start_time,end_time,peak_level_cm,peak_time,duration_min,avg_gradient_cm_min,points_count
Herzogstraße_merged_export,2026-02-13T09:17:00Z,2026-02-13T09:17:00Z,6.1,2026-02-13T09:17:00Z,0,61,2
Herzogstraße_merged_export,2026-02-13T08:02:00Z,2026-02-13T08:02:00Z,5.7,2026-02-13T08:02:00Z,0,57,2
Herzogstraße_merged_export,2026-02-13T02:01:00Z,2026-02-13T02:01:00Z,5,2026-02-13T02:01:00Z,0,50,2
Herzogstraße_merged_export,2026-02-12T20:22:00Z,2026-02-13T01:00:00Z,4.4,2026-02-12T20:49:00Z,278,0.162,454
Herzogstraße_merged_export,2026-02-12T15:22:00Z,2026-02-12T18:30:00Z,5,2026-02-12T15:22:00Z,188,50,272
Herzogstraße_merged_export,2026-02-12T14:40:00Z,2026-02-12T14:46:00Z,3.6,2026-02-12T14:42:00Z,6,1.714,14
Herzogstraße_merged_export,2026-02-12T13:26:00Z,2026-02-12T13:51:00Z,3.4,2026-02-12T13:39:00Z,25,0.26,52
Herzogstraße_merged_export,2026-02-12T11:47:00Z,2026-02-12T11:47:00Z,4.4,2026-02-12T11:47:00Z,0,44,2
Herzogstraße_merged_export,2026-02-12T06:16:00Z,2026-02-12T09:00:00Z,4,2026-02-12T07:53:00Z,164,0.041,280
Herzogstraße_merged_export,2026-02-12T05:43:00Z,2026-02-12T05:44:00Z,6.1,2026-02-12T05:43:00Z,1,61,4
Herzogstraße_merged_export,2026-02-12T04:53:00Z,2026-02-12T04:58:00Z,4.3,2026-02-12T04:53:00Z,5,43,4
Herzogstraße_merged_export,2026-02-11T20:40:00Z,2026-02-12T04:00:00Z,3.1,2026-02-12T03:09:00Z,440,0.008,722
Herzogstraße_merged_export,2026-02-11T20:13:00Z,2026-02-11T20:13:00Z,1.7,2026-02-11T20:13:00Z,0,17,2
Herzogstraße_merged_export,2026-02-11T19:41:00Z,2026-02-11T19:41:00Z,1.9,2026-02-11T19:41:00Z,0,19,2
Herzogstraße_merged_export,2026-02-11T12:54:00Z,2026-02-11T15:59:00Z,4.1,2026-02-11T13:27:00Z,185,0.124,354
Herzogstraße_merged_export,2026-02-11T10:51:00Z,2026-02-11T10:52:00Z,3.2,2026-02-11T10:51:00Z,1,32,4
Herzogstraße_merged_export,2026-02-11T09:53:00Z,2026-02-11T10:05:00Z,3.5,2026-02-11T09:58:00Z,12,0.686,26
Wasserstraße_Springorum_merged_export,2026-02-10T17:56:00Z,2026-02-10T17:56:00Z,5,2026-02-10T17:56:00Z,0,50,2
Wasserstraße_Springorum_merged_export,2026-02-10T09:46:00Z,2026-02-10T09:46:00Z,5.4,2026-02-10T09:46:00Z,0,54,2
Wasserstraße_Springorum_merged_export,2026-02-09T18:52:00Z,2026-02-09T18:52:00Z,2.2,2026-02-09T18:52:00Z,0,22,2
Wasserstraße_Springorum_merged_export,2026-02-09T13:35:00Z,2026-02-09T13:35:00Z,3.1,2026-02-09T13:35:00Z,0,31,2
Wasserstraße_Springorum_merged_export,2026-02-09T06:12:00Z,2026-02-09T06:12:00Z,2.9,2026-02-09T06:12:00Z,0,29,2
Wasserstraße_Springorum_merged_export,2026-02-07T20:07:00Z,2026-02-07T20:07:00Z,4.2,2026-02-07T20:07:00Z,0,42,2
Herzogstraße_merged_export,2026-02-07T14:04:00Z,2026-02-07T16:31:00Z,5.1,2026-02-07T14:04:00Z,147,51,296
Herzogstraße_merged_export,2026-02-06T17:56:00Z,2026-02-07T00:46:00Z,20.5,2026-02-06T21:52:00Z,410,0.087,822
An_der_Kost_merged_export,2026-02-06T15:55:00Z,2026-02-06T15:55:00Z,15.8,2026-02-06T15:55:00Z,0,158,2
Herzogstraße_merged_export,2026-02-06T10:52:00Z,2026-02-06T14:52:00Z,7.6,2026-02-06T11:18:00Z,240,0.291,426
Herzogstraße_merged_export,2026-02-06T08:12:00Z,2026-02-06T08:58:00Z,15,2026-02-06T08:12:00Z,46,150,94
Herzogstraße_merged_export,2026-02-06T05:18:00Z,2026-02-06T06:32:00Z,16.2,2026-02-06T05:18:00Z,74,162,150
Herzogstraße_merged_export,2026-02-05T19:50:00Z,2026-02-05T21:10:00Z,3,2026-02-05T19:50:00Z,80,30,162
Wasserstraße_Springorum_merged_export,2026-02-05T19:22:00Z,2026-02-05T19:22:00Z,2.2,2026-02-05T19:22:00Z,0,22,2
Herzogstraße_merged_export,2026-02-05T14:59:00Z,2026-02-05T15:59:00Z,3.8,2026-02-05T14:59:00Z,60,38,122
An_der_Kost_merged_export,2026-02-05T08:57:00Z,2026-02-05T08:57:00Z,17.8,2026-02-05T08:57:00Z,0,178,2
Herzogstraße_merged_export,2026-02-05T08:12:00Z,2026-02-05T08:56:00Z,2.1,2026-02-05T08:12:00Z,44,21,90
Wasserstraße_Springorum_merged_export,2026-02-05T07:15:00Z,2026-02-05T07:15:00Z,1.9,2026-02-05T07:15:00Z,0,19,2
Herzogstraße_merged_export,2026-02-05T05:33:00Z,2026-02-05T06:40:00Z,2.8,2026-02-05T05:33:00Z,67,28,136
Herzogstraße_merged_export,2026-02-04T17:55:00Z,2026-02-05T04:44:00Z,6.2,2026-02-04T19:19:00Z,649,0.074,1300
Herzogstraße_merged_export,2026-02-04T15:04:00Z,2026-02-04T16:58:00Z,23,2026-02-04T15:04:00Z,114,230,230
Herzogstraße_merged_export,2026-02-04T14:17:00Z,2026-02-04T14:24:00Z,8.9,2026-02-04T14:17:00Z,7,89,16
Herzogstraße_merged_export,2026-02-04T11:56:00Z,2026-02-04T12:35:00Z,29.9,2026-02-04T11:56:00Z,39,299,80
Herzogstraße_merged_export,2026-02-04T08:06:00Z,2026-02-04T09:47:00Z,28.9,2026-02-04T08:06:00Z,101,289,204
Herzogstraße_merged_export,2026-02-03T11:14:00Z,2026-02-03T12:13:00Z,21.3,2026-02-03T11:14:00Z,59,213,120
An_der_Kost_merged_export,2026-02-03T10:04:00Z,2026-02-03T10:04:00Z,4,2026-02-03T10:04:00Z,0,40,2
Herzogstraße_merged_export,2026-02-03T08:04:00Z,2026-02-03T08:44:00Z,13.1,2026-02-03T08:04:00Z,40,131,82
Wasserstraße_Springorum_merged_export,2026-02-03T05:52:00Z,2026-02-03T05:52:00Z,1.6,2026-02-03T05:52:00Z,0,16,2
An_der_Kost_merged_export,2026-02-03T05:00:00Z,2026-02-03T05:00:00Z,18.2,2026-02-03T05:00:00Z,0,182,2
Herzogstraße_merged_export,2026-02-02T20:54:00Z,2026-02-03T04:05:00Z,18.2,2026-02-02T20:54:00Z,431,182,864
Wasserstraße_Springorum_merged_export,2026-02-02T17:59:00Z,2026-02-02T17:59:00Z,4.2,2026-02-02T17:59:00Z,0,42,2
Herzogstraße_merged_export,2026-02-02T17:22:00Z,2026-02-02T18:31:00Z,18.6,2026-02-02T17:22:00Z,69,186,138
Herzogstraße_merged_export,2026-02-02T16:31:00Z,2026-02-02T16:35:00Z,7.7,2026-02-02T16:31:00Z,4,77,10
Herzogstraße_merged_export,2026-02-02T14:50:00Z,2026-02-02T15:48:00Z,16.3,2026-02-02T14:50:00Z,58,163,118
Herzogstraße_merged_export,2026-02-02T12:08:00Z,2026-02-02T14:20:00Z,19.9,2026-02-02T13:39:00Z,132,0.218,244
Wasserstraße_Springorum_merged_export,2026-02-02T12:07:00Z,2026-02-02T12:07:00Z,1.6,2026-02-02T12:07:00Z,0,16,2
Herzogstraße_merged_export,2026-02-02T10:12:00Z,2026-02-02T10:36:00Z,1.8,2026-02-02T10:12:00Z,24,18,50
Herzogstraße_merged_export,2026-02-02T04:20:00Z,2026-02-02T04:39:00Z,13.1,2026-02-02T04:20:00Z,19,131,40
Herzogstraße_merged_export,2026-02-01T16:58:00Z,2026-02-01T22:46:00Z,11.7,2026-02-01T17:07:00Z,348,1.286,694
An_der_Kost_merged_export,2026-02-01T16:23:00Z,2026-02-01T16:23:00Z,13.5,2026-02-01T16:23:00Z,0,135,2
An_der_Kost_merged_export,2026-02-01T14:55:00Z,2026-02-01T14:58:00Z,14.9,2026-02-01T14:55:00Z,3,149,4
Herzogstraße_merged_export,2026-02-01T11:48:00Z,2026-02-01T12:27:00Z,10.1,2026-02-01T11:48:00Z,39,101,80
Herzogstraße_merged_export,2026-02-01T08:48:00Z,2026-02-01T09:07:00Z,8,2026-02-01T08:48:00Z,19,80,40
Herzogstraße_merged_export,2026-01-31T18:01:00Z,2026-01-31T18:30:00Z,6.8,2026-01-31T18:01:00Z,29,68,60
Herzogstraße_merged_export,2026-01-31T10:46:00Z,2026-01-31T16:59:00Z,18.6,2026-01-31T10:52:00Z,373,3.049,748
Herzogstraße_merged_export,2026-01-30T14:52:00Z,2026-01-30T20:42:00Z,18.1,2026-01-30T16:55:00Z,350,0.147,702
An_der_Kost_merged_export,2026-01-30T14:38:00Z,2026-01-30T14:38:00Z,12,2026-01-30T14:38:00Z,0,120,2
Herzogstraße_merged_export,2026-01-30T13:26:00Z,2026-01-30T13:45:00Z,7.2,2026-01-30T13:26:00Z,19,72,40
Herzogstraße_merged_export,2026-01-30T10:57:00Z,2026-01-30T12:53:00Z,21.1,2026-01-30T12:42:00Z,116,0.201,222
An_der_Kost_merged_export,2026-01-30T10:29:00Z,2026-01-30T10:29:00Z,6.3,2026-01-30T10:29:00Z,0,63,2
Herzogstraße_merged_export,2026-01-30T08:09:00Z,2026-01-30T09:48:00Z,17,2026-01-30T08:09:00Z,99,170,200
Herzogstraße_merged_export,2026-01-29T16:37:00Z,2026-01-29T16:37:00Z,5.1,2026-01-29T16:37:00Z,0,51,2
Herzogstraße_merged_export,2026-01-29T14:51:00Z,2026-01-29T15:00:00Z,20.5,2026-01-29T14:51:00Z,9,205,20
Herzogstraße_merged_export,2026-01-29T12:13:00Z,2026-01-29T12:56:00Z,5.4,2026-01-29T12:13:00Z,43,54,88
Herzogstraße_merged_export,2026-01-29T08:04:00Z,2026-01-29T08:09:00Z,24.7,2026-01-29T08:04:00Z,5,247,12
Herzogstraße_merged_export,2026-01-28T22:37:00Z,2026-01-28T23:23:00Z,7.5,2026-01-28T22:37:00Z,46,75,94
Herzogstraße_merged_export,2026-01-28T17:51:00Z,2026-01-28T18:13:00Z,15.6,2026-01-28T17:51:00Z,22,156,46
Herzogstraße_merged_export,2026-01-28T15:28:00Z,2026-01-28T15:52:00Z,3.4,2026-01-28T15:28:00Z,24,34,50
Herzogstraße_merged_export,2026-01-28T14:23:00Z,2026-01-28T14:30:00Z,2.1,2026-01-28T14:23:00Z,7,21,16
Herzogstraße_merged_export,2026-01-28T11:43:00Z,2026-01-28T12:19:00Z,29.4,2026-01-28T11:43:00Z,36,294,74
Herzogstraße_merged_export,2026-01-28T09:25:00Z,2026-01-28T09:52:00Z,3,2026-01-28T09:25:00Z,27,30,56
Herzogstraße_merged_export,2026-01-28T07:14:00Z,2026-01-28T08:06:00Z,13.2,2026-01-28T07:14:00Z,52,132,106
Herzogstraße_merged_export,2026-01-27T22:23:00Z,2026-01-27T22:24:00Z,14.5,2026-01-27T22:23:00Z,1,145,4
Herzogstraße_merged_export,2026-01-27T09:11:00Z,2026-01-27T12:42:00Z,17,2026-01-27T09:11:00Z,211,170,424
Herzogstraße_merged_export,2026-01-27T05:57:00Z,2026-01-27T06:26:00Z,29.7,2026-01-27T06:08:00Z,29,2.676,60
Herzogstraße_merged_export,2026-01-26T16:53:00Z,2026-01-26T17:33:00Z,4.2,2026-01-26T16:53:00Z,40,42,82
