station,start_time,end_time,peak_level_cm,peak_time,duration_min,avg_gradient_cm_min,points_count,rain_yard_mm,rain_garden_mm,total_rain_mm,rain_verified
Wasserstraße_Springorum,2025-12-09T22:38:00Z,2025-12-09T22:38:00Z,2.1,2025/12/09 22:38:00,0,21,1,0,1.1560000000000001,1.1560000000000001,TRUE
Wasserstraße_Springorum,2025-12-09T05:36:00Z,2025-12-09T05:56:00Z,3.6,2025/12/09 05:41:00,20,0.706,8,0.034,2.125,2.125,TRUE
Wasserstraße_Springorum,2025-12-09T03:12:00Z,2025-12-09T03:17:00Z,3.7,2025/12/09 03:13:00,5,3.364,6,1.785,1.9209999999999998,1.9209999999999998,TRUE
Wasserstraße_Springorum,2025-12-08T13:55:00Z,2025-12-08T14:00:00Z,4.2,2025/12/08 13:59:00,5,1.024,6,0.68,0.49300000000000005,0.68,FALSE
Wasserstraße_Springorum,2025-12-08T11:53:00Z,2025-12-08T11:57:00Z,4.2,2025/12/08 11:56:00,4,1.355,5,0.68,0.459,0.68,FALSE
Wasserstraße_Springorum,2025-12-08T11:13:00Z,2025-12-08T11:18:00Z,4.2,2025/12/08 11:14:00,5,3.818,6,0.34,0.47600000000000003,0.47600000000000003,FALSE
Wasserstraße_Springorum,2025-12-08T10:01:00Z,2025-12-08T10:21:00Z,4.9,2025/12/08 10:20:00,20,0.257,8,0,0.561,0.561,FALSE
Wasserstraße_Springorum,2025-12-08T07:08:00Z,2025-12-08T07:11:00Z,1.7,2025/12/08 07:08:00,3,17,3,0,0.8160000000000001,0.8160000000000001,FALSE
Wasserstraße_Springorum,2025-12-08T06:36:00Z,2025-12-08T06:36:00Z,1.6,2025/12/08 06:36:00,0,16,1,0,0.8330000000000001,0.8330000000000001,FALSE
Wasserstraße_Springorum,2025-12-08T01:42:00Z,2025-12-08T05:34:00Z,5.8,2025/12/08 05:17:00,232,0.027,168,0,2.482,2.482,TRUE
Wasserstraße_Springorum,2025-12-08T00:26:00Z,2025-12-08T00:30:00Z,3.8,2025/12/08 00:30:00,4,0.927,5,0.561,1.428,1.428,TRUE
Wasserstraße_Springorum,2025-12-07T22:19:00Z,2025-12-07T22:23:00Z,3.6,2025/12/07 22:19:00,4,36,5,7.191,1.445,7.191,TRUE
Wasserstraße_Springorum,2025-12-07T15:59:00Z,2025-12-07T16:02:00Z,1.8,2025/12/07 15:59:00,3,18,4,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-07T15:06:00Z,2025-12-07T15:14:00Z,2.1,2025/12/07 15:14:00,8,0.259,4,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-07T14:18:00Z,2025-12-07T14:18:00Z,2.5,2025/12/07 14:18:00,0,25,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-07T13:50:00Z,2025-12-07T13:55:00Z,5.2,2025/12/07 13:55:00,5,1.02,6,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-07T09:41:00Z,2025-12-07T09:45:00Z,3.9,2025/12/07 09:45:00,4,0.951,5,0.17,0.23800000000000002,0.23800000000000002,FALSE
Wasserstraße_Springorum,2025-12-07T04:06:00Z,2025-12-07T04:10:00Z,3.5,2025/12/07 04:06:00,4,35,5,0.255,1.394,1.394,TRUE
Wasserstraße_Springorum,2025-12-06T13:04:00Z,2025-12-06T14:46:00Z,3.8,2025/12/06 13:39:00,102,0.108,48,0.34,0,0.34,FALSE
Wasserstraße_Springorum,2025-12-06T04:05:00Z,2025-12-06T04:09:00Z,3.7,2025/12/06 04:06:00,4,3.364,5,0,0.714,0.714,FALSE
Wasserstraße_Springorum,2025-12-06T03:12:00Z,2025-12-06T03:12:00Z,1.6,2025/12/06 03:12:00,0,16,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-05T21:20:00Z,2025-12-05T21:20:00Z,1.7,2025/12/05 21:20:00,0,17,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-05T14:20:00Z,2025-12-05T14:20:00Z,4.8,2025/12/05 14:20:00,0,48,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-05T12:30:00Z,2025-12-05T12:30:00Z,1.9,2025/12/05 12:30:00,0,19,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-05T07:02:00Z,2025-12-05T07:13:00Z,4.1,2025/12/05 07:12:00,11,0.406,12,0,0.391,0.391,FALSE
Wasserstraße_Springorum,2025-12-04T13:48:00Z,2025-12-04T13:48:00Z,2.1,2025/12/04 13:48:00,0,21,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-04T06:09:00Z,2025-12-04T06:14:00Z,4.3,2025/12/04 06:14:00,5,0.843,6,0,0.017,0.017,FALSE
Wasserstraße_Springorum,2025-12-04T05:10:00Z,2025-12-04T05:15:00Z,4.1,2025/12/04 05:14:00,5,1,6,0,0.068,0.068,FALSE
Wasserstraße_Springorum,2025-12-03T06:45:00Z,2025-12-03T06:57:00Z,1.6,2025/12/03 06:45:00,12,16,2,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-03T05:51:00Z,2025-12-03T05:51:00Z,2.7,2025/12/03 05:51:00,0,27,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-03T02:19:00Z,2025-12-03T04:56:00Z,5.8,2025/12/03 03:22:00,157,0.092,111,0,0.10200000000000001,0.10200000000000001,FALSE
Wasserstraße_Springorum,2025-12-03T01:53:00Z,2025-12-03T01:53:00Z,1.6,2025/12/03 01:53:00,0,16,1,0,0.20400000000000001,0.20400000000000001,FALSE
Wasserstraße_Springorum,2025-12-03T01:20:00Z,2025-12-03T01:20:00Z,1.6,2025/12/03 01:20:00,0,16,1,0,0.23800000000000002,0.23800000000000002,FALSE
Wasserstraße_Springorum,2025-12-02T16:19:00Z,2025-12-02T16:19:00Z,2.1,2025/12/02 16:19:00,0,21,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-02T13:52:00Z,2025-12-02T13:52:00Z,1.8,2025/12/02 13:52:00,0,18,1,0,0,0,FALSE
Wasserstraße_Springorum,2025-12-02T11:01:00Z,2025-12-02T11:06:00Z,4.4,2025/12/02 11:04:00,5,1.419,6,0,0.47600000000000003,0.47600000000000003,FALSE
Wasserstraße_Springorum,2025-12-02T05:41:00Z,2025-12-02T06:10:00Z,4.9,2025/12/02 06:08:00,29,0.181,18,0,0.544,0.544,FALSE
Wasserstraße_Springorum,2025-12-01T21:45:00Z,2025-12-01T21:45:00Z,1.8,2025/12/01 21:45:00,0,18,1,0,0,0,FALSE
