timestamp,station,precipitation_mm
2026-09-10T23:10:00Z,Königsallee,0
2026-09-10T23:10:00Z,Wasserbaulabor 2,0
2026-09-10T23:10:00Z,Herzogstraße,0
2026-09-10T23:15:00Z,An der Kost,0
2026-09-10T23:15:00Z,Wasserstraße,0
2026-09-10T23:15:00Z,Königsallee,0
2026-09-10T23:15:00Z,Wasserbaulabor 2,0
2026-09-10T23:15:00Z,Herzogstraße,0
2026-09-10T23:20:00Z,An der Kost,0
2026-09-10T23:20:00Z,Wasserstraße,0
2026-09-10T23:20:00Z,Königsallee,0
2026-09-10T23:20:00Z,Wasserbaulabor 2,0
2026-09-10T23:20:00Z,Herzogstraße,0
2026-09-10T23:25:00Z,An der Kost,0
2026-09-10T23:25:00Z,Wasserstraße,0
2026-09-10T23:25:00Z,Königsallee,0
2026-09-10T23:25:00Z,Wasserbaulabor 2,0
2026-09-10T23:25:00Z,Herzogstraße,0
2026-09-10T23:30:00Z,An der Kost,0
2026-09-10T23:30:00Z,Wasserstraße,0
2026-09-10T23:30:00Z,Königsallee,0
2026-09-10T23:30:00Z,Wasserbaulabor 2,0
2026-09-10T23:30:00Z,Herzogstraße,0
2026-09-10T23:35:00Z,An der Kost,0
2026-09-10T23:35:00Z,Wasserstraße,0
2026-09-10T23:35:00Z,Königsallee,0
2026-09-10T23:35:00Z,Wasserbaulabor 2,0
2026-09-10T23:35:00Z,Herzogstraße,0
2026-09-10T23:40:00Z,An der Kost,0
2026-09-10T23:40:00Z,Wasserstraße,0
2026-09-10T23:40:00Z,Königsallee,0
2026-09-10T23:40:00Z,Wasserbaulabor 2,0
2026-09-10T23:40:00Z,Herzogstraße,0
2026-09-10T23:45:00Z,An der Kost,0
2026-09-10T23:45:00Z,Wasserstraße,0
2026-09-10T23:45:00Z,Königsallee,0
2026-09-10T23:45:00Z,Wasserbaulabor 2,0
2026-09-10T23:45:00Z,Herzogstraße,0
2026-09-10T23:50:00Z,An der Kost,0
2026-09-10T23:50:00Z,Wasserstraße,0
2026-09-10T23:50:00Z,Königsallee,0
2026-09-10T23:50:00Z,Wasserbaulabor 2,0
2026-09-10T23:50:00Z,Herzogstraße,0
2026-09-10T23:55:00Z,An der Kost,0
2026-09-10T23:55:00Z,Wasserstraße,0
2026-09-10T23:55:00Z,Königsallee,0
2026-09-10T23:55:00Z,Wasserbaulabor 2,0
2026-09-10T23:55:00Z,Herzogstraße,0
2026-09-11T00:00:00Z,An der Kost,0
2026-09-11T00:00:00Z,Wasserstraße,0
2026-09-11T00:00:00Z,Königsallee,0
2026-09-11T00:00:00Z,Wasserbaulabor 2,0
2026-09-11T00:00:00Z,Herzogstraße,0
2026-09-11T00:05:00Z,An der Kost,0
2026-09-11T00:05:00Z,Wasserstraße,0
2026-09-11T00:05:00Z,Königsallee,0
2026-09-11T00:05:00Z,Wasserbaulabor 2,0
2026-09-11T00:05:00Z,Herzogstraße,0
2026-09-11T00:10:00Z,An der Kost,0
2026-09-11T00:10:00Z,Wasserstraße,0
2026-09-11T00:10:00Z,Königsallee,0
2026-09-11T00:10:00Z,Wasserbaulabor 2,0
2026-09-11T00:10:00Z,Herzogstraße,0
2026-09-11T00:15:00Z,An der Kost,0
2026-09-11T00:15:00Z,Wasserstraße,0
2026-09-11T00:15:00Z,Königsallee,0
2026-09-11T00:15:00Z,Wasserbaulabor 2,0
2026-09-11T00:15:00Z,Herzogstraße,0
2026-09-11T00:20:00Z,An der Kost,0
2026-09-11T00:20:00Z,Wasserstraße,0
2026-09-11T00:20:00Z,Königsallee,0
