"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","points_count","total_precip_mm","max_intensity_mm_h","openmeteo_verified","dwd_risk_level","radolan_verified","level_reliable"
"An_der_Kost","2025/09/15 04:14:00","2025/09/15 16:29:00",0.8,"2025/09/15 10:02:00",735,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",734,0.69,3.24,NA,NA,TRUE,NA
"An_der_Kost","2025/09/15 04:22:00","2025/09/15 14:24:00",0.8,"2025/09/15 10:02:00",602,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",601,0.69,3.24,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/09/20 22:55:00","2025/09/21 10:34:00",1.3,"2025/09/21 00:49:00",699,0.011,"Leichter Regen / Unterhalb DWD-Schwelle",700,2.55,3.72,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/09/21 00:31:00","2025/09/21 08:46:00",1,"2025/09/21 00:49:00",495,0.055,"Leichter Regen / Unterhalb DWD-Schwelle",496,2.3,3.72,NA,NA,TRUE,NA
"Wasserstraße_Springorum","2025/09/21 01:21:00","2025/09/21 05:59:00",7.5,"2025/09/21 05:10:00",278,0.033,"Regenereignis / Natürlich",279,1.07,3.72,NA,NA,TRUE,NA
"Wasserstraße_Springorum","2025/09/21 07:16:00","2025/09/21 07:43:00",0.9,"2025/09/21 07:22:00",27,0.148,"Leichter Regen / Unterhalb DWD-Schwelle",28,2.14,3.72,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/09/21 16:05:00","2025/09/21 17:09:00",0.5,"2025/09/21 16:36:00",64,0.016,"Leichter Regen / Unterhalb DWD-Schwelle",65,0.56,2.28,NA,NA,TRUE,NA
"An_der_Kost","2025/09/21 17:09:00","2025/09/22 06:02:00",0.3,"2025/09/21 18:55:00",773,0.003,"Leichter Regen / Unterhalb DWD-Schwelle",774,0.37,1.56,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/09/21 18:32:00","2025/09/21 23:51:00",0.7,"2025/09/21 20:25:00",319,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",320,0.56,2.28,NA,NA,TRUE,NA
"An_der_Kost","2025/09/22 08:02:00","2025/09/22 20:02:00",0.3,"2025/09/22 10:17:00",720,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",717,4.71,8.04,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/09/22 17:37:00","2025/09/22 18:49:00",0.6,"2025/09/22 18:07:00",72,0.02,"Leichter Regen / Unterhalb DWD-Schwelle",16,1.69,3.96,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2025/09/24 17:29:00","2025/09/24 19:42:00",0.6,"2025/09/24 18:06:00",133,0.016,"Leichter Regen / Unterhalb DWD-Schwelle",40,4.5,5.16,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"An_der_Kost","2025/09/26 20:36:00","2025/09/26 22:50:00",0.3,"2025/09/26 21:43:00",134,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",135,0.03,0.36,NA,NA,TRUE,NA
"Wasserstraße_Springorum","2025/10/03 20:31:00","2025/10/03 20:56:00",0.7,"2025/10/03 20:50:00",25,0.037,"Leichter Regen / Unterhalb DWD-Schwelle",26,1.33,0.96,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/03 20:37:00","2025/10/04 04:18:00",0.9,"2025/10/04 00:26:00",461,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",462,3.21,3.36,NA,NA,TRUE,NA
"An_der_Kost","2025/10/03 22:55:00","2025/10/04 00:16:00",0.3,"2025/10/03 23:53:00",81,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",82,1.34,1.2,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/04 00:05:00","2025/10/04 02:31:00",0.9,"2025/10/04 00:26:00",146,0.043,"Leichter Regen / Unterhalb DWD-Schwelle",147,1.91,3.36,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/04 00:14:00","2025/10/04 02:26:00",0.9,"2025/10/04 00:26:00",132,0.074,"Leichter Regen / Unterhalb DWD-Schwelle",120,1.82,3.36,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2025/10/04 00:17:00","2025/10/04 00:58:00",0.5,"2025/10/04 00:27:00",41,0.05,"Leichter Regen / Unterhalb DWD-Schwelle",42,1.79,3.36,NA,NA,TRUE,NA
"Königsallee_Springorum","2025/10/04 00:24:00","2025/10/04 00:48:00",0.7,"2025/10/04 00:27:00",24,0.226,"Leichter Regen / Unterhalb DWD-Schwelle",19,1.67,3.36,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"An_der_Kost","2025/10/04 05:41:00","2025/10/04 11:18:00",0.4,"2025/10/04 06:23:00",337,0.01,"Leichter Regen / Unterhalb DWD-Schwelle",336,6.39,10.92,NA,NA,TRUE,NA
