"Timestamp","ConnectionStatus_NLR_#_#_#"
"2026-01-12T14:42:25.0716685",0
"2026-01-13T01:30:08.3651989",0
"2026-01-13T09:20:25.7188329",0
"2026-01-13T13:30:08.3651989",0
"2026-01-13T14:42:24.6399142",0
"2026-01-14T01:30:08.3651989",0
"2026-01-14T02:42:24.6399142",0
"2026-01-14T09:20:11.476692",0
"2026-01-14T13:30:08.3651989",0
"2026-01-14T14:56:44.7133515",0
"2026-01-15T01:30:08.3651989",0
"2026-01-15T09:20:19.1014624",0
"2026-01-15T13:30:08.3651989",0
"2026-01-15T14:42:35.3931676",0
"2026-01-16T01:30:08.3651989",0
"2026-01-16T09:20:36.3138296",0
"2026-01-16T13:30:08.3651989",0
"2026-01-16T14:39:29.5418259",0
"2026-01-17T01:30:08.3651989",0
"2026-01-17T09:21:16.6154692",0
"2026-01-17T13:30:08.3651989",0
"2026-01-17T14:40:13.8436349",0
"2026-01-18T01:30:08.3651989",0
"2026-01-18T09:19:57.1767577",0
"2026-01-18T13:30:08.3651989",0
"2026-01-18T14:41:42.8500916",0
"2026-01-19T01:30:08.3651989",0
"2026-01-19T09:21:12.0943794",0
"2026-01-19T13:30:08.3651989",0
"2026-01-19T14:42:07.9903276",0
"2026-01-20T01:30:08.3651989",0
"2026-01-20T09:21:20.8738165",0
"2026-01-20T13:30:08.3651989",0
"2026-01-20T14:39:56.4480549",0
"2026-01-21T01:30:08.3651989",0
"2026-01-21T09:20:06.8968121",0
"2026-01-21T13:30:08.3651989",0
"2026-01-21T14:40:44.4573701",0
"2026-01-22T01:30:08.3651989",0
"2026-01-22T09:19:56.6771637",0
"2026-01-22T13:30:08.3651989",0
"2026-01-22T14:40:05.4448718",0
"2026-01-23T01:30:08.3651989",0
"2026-01-23T09:20:58.9017469",0
"2026-01-23T13:30:08.3651989",0
"2026-01-23T14:40:05.9990011",0
"2026-01-24T01:30:08.3651989",0
"2026-01-24T09:22:07.4095991",0
"2026-01-24T13:30:08.3651989",0
"2026-01-24T14:41:13.1342252",0
"2026-01-25T01:30:08.3651989",0
"2026-01-25T09:21:42.4007694",0
"2026-01-25T13:30:08.3651989",0
"2026-01-25T14:40:21.1488947",0
"2026-01-26T01:30:08.3651989",0
"2026-01-26T09:19:54.7353789",0
"2026-01-26T13:30:08.3651989",0
"2026-01-26T14:40:20.7452983",0
"2026-01-27T01:30:08.3651989",0
"2026-01-27T09:19:47.7836809",0
"2026-01-27T13:30:08.3651989",0
"2026-01-27T14:41:04.5526576",0
"2026-01-28T01:30:08.3651989",0
"2026-01-28T09:21:17.2823841",0
"2026-01-28T13:30:08.3651989",0
"2026-01-28T14:41:09.008689",0
"2026-01-29T01:30:08.3651989",0
"2026-01-29T09:19:13.0966482",0
"2026-01-29T13:30:08.3651989",0
"2026-01-29T14:41:58.4287171",0
"2026-01-30T01:30:08.3651989",0
"2026-01-30T09:19:41.0970295",0
"2026-01-30T13:30:08.3651989",0
"2026-01-30T14:39:28.2685914",0
"2026-01-31T01:30:08.3651989",0
"2026-01-31T09:21:36.963959",0
"2026-01-31T13:30:08.3651989",0
"2026-01-31T14:40:29.0245897",0
"2026-02-01T01:30:08.3651989",0
"2026-02-01T09:20:02.9668708",0
"2026-02-01T13:30:08.3651989",0
"2026-02-01T14:41:11.2719661",0
"2026-02-02T01:30:08.3651989",0
"2026-02-02T09:20:25.5959388",0
"2026-02-02T13:30:08.3651989",0
"2026-02-02T14:41:08.691538",0
"2026-02-03T01:30:08.3651989",0
"2026-02-03T09:20:09.7427746",0
"2026-02-03T13:30:08.3651989",0
"2026-02-03T14:40:48.6642788",0
"2026-02-04T01:30:08.3651989",0
"2026-02-04T09:21:38.3666985",0
"2026-02-04T13:30:08.3651989",0
"2026-02-04T14:41:22.3447394",0
"2026-02-05T01:30:08.3651989",0
"2026-02-05T09:21:32.8105511",0
"2026-02-05T13:30:08.3651989",0
"2026-02-05T14:40:59.0765592",0
"2026-02-06T01:30:08.3651989",0
"2026-02-06T09:21:13.8827255",0
"2026-02-06T13:30:08.3651989",0
"2026-02-06T14:40:01.5300803",0
"2026-02-07T01:30:08.3651989",0
"2026-02-07T09:21:21.3371758",0
"2026-02-07T13:30:08.3651989",0
"2026-02-07T14:43:42.3102483",0
"2026-02-08T01:30:08.3651989",0
"2026-02-08T09:19:21.8014495",0
"2026-02-08T13:30:08.3651989",0
"2026-02-08T14:42:01.2089285",0
"2026-02-09T01:30:08.3651989",0
"2026-02-09T09:22:11.5227441",0
"2026-02-09T13:30:08.3651989",0
"2026-02-09T14:40:13.3178272",0
"2026-02-10T01:30:08.3651989",0
"2026-02-10T09:21:33.9780182",0
"2026-02-10T13:30:08.3651989",0
"2026-02-10T14:42:33.0664366",0
"2026-02-11T01:30:08.3651989",0
"2026-02-11T09:21:11.1567223",0
"2026-02-11T13:30:08.3651989",0
