"Timestamp","ConnectionStatus_NLR_._._.","ConnectionStatus_NLR_#_#_#"
"2026-02-05T13:30:08.1976207",0,NA
"2026-02-05T14:40:59.0065594",1,NA
"2026-02-06T01:30:08.1976207",0,NA
"2026-02-06T09:21:13.7877246",0,NA
"2026-02-06T13:30:08.1976207",0,NA
"2026-02-06T14:40:01.4500806",1,NA
"2026-02-07T01:30:08.1976207",0,NA
"2026-02-07T09:21:21.2521748",0,NA
"2026-02-07T13:30:08.1976207",0,NA
"2026-02-07T14:43:42.2402291",1,NA
"2026-02-08T01:30:08.1976207",0,NA
"2026-02-08T09:19:21.7164423",0,NA
"2026-02-08T13:30:08.1976207",0,NA
"2026-02-08T14:42:01.1389287",1,NA
"2026-02-09T01:30:08.1976207",0,NA
"2026-02-09T09:22:11.4327383",0,NA
"2026-02-09T13:30:08.1976207",0,NA
"2026-02-09T14:40:13.2428083",1,NA
"2026-02-10T01:30:08.1976207",0,NA
"2026-02-10T09:21:33.8730167",0,NA
"2026-02-10T13:30:08.1976207",0,NA
"2026-02-10T14:42:32.9664378",1,NA
"2026-02-11T01:30:08.1976207",0,NA
"2026-02-11T09:21:11.0567147",0,NA
"2026-02-11T13:30:08.1976207",0,NA
"2026-02-11T14:41:05.7947154",1,NA
"2026-02-12T01:30:08.1976207",0,NA
"2026-02-12T09:20:17.0498052",0,NA
"2026-02-12T13:30:08.1976207",0,NA
"2026-02-12T14:42:53.2156881",1,NA
"2026-02-13T01:30:08.1976207",0,NA
"2026-02-13T09:21:47.4561362",0,NA
"2026-02-13T13:30:08.1976207",0,NA
"2026-02-13T14:39:47.3163818",1,NA
"2026-02-14T01:30:08.1976207",0,NA
"2026-02-14T09:21:23.0431416",0,NA
"2026-02-14T13:30:08.1976207",0,NA
"2026-02-14T14:41:34.5164365",1,NA
"2026-02-15T01:30:08.1976207",0,NA
"2026-02-15T09:20:17.3620127",0,NA
"2026-02-15T13:30:08.1976207",0,NA
"2026-02-15T14:42:33.7702547",1,NA
"2026-02-16T01:30:08.1976207",0,NA
"2026-02-16T09:19:20.469861",0,NA
"2026-02-16T14:41:57.8498357",1,NA
"2026-02-17T09:19:58.2178838",0,NA
"2026-02-17T14:41:39.2376792",NA,1
"2026-02-18T09:22:15.0504039",NA,0
