"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","total_precip_mm","max_intensity_mm_h","radolan_verified","level_reliable","points_count"
"An_der_Kost","2025/12/06 03:29:00","2025/12/06 05:31:00",0.33,"2025/12/06 03:41:00",122,0.027,"Leichter Regen / Unterhalb DWD-Schwelle",0.9,5.04,TRUE,TRUE,123
"An_der_Kost","2025/12/04 00:25:00","2025/12/04 02:21:00",0.28,"2025/12/04 01:16:00",116,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",1.19,1.08,TRUE,TRUE,118
"An_der_Kost","2025/12/02 06:11:00","2025/12/02 10:22:00",0.29,"2025/12/02 07:16:00",251,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",6.25,3.96,TRUE,TRUE,253
"An_der_Kost","2025/11/28 07:27:00","2025/11/28 10:25:00",0.34,"2025/11/28 08:06:00",178,0.009,"Leichter Regen / Unterhalb DWD-Schwelle",2.1,4.32,TRUE,TRUE,179
"An_der_Kost","2025/11/17 13:29:00","2025/11/17 15:39:00",1.44,"2025/11/17 13:46:00",130,0.084,"Leichter Regen / Unterhalb DWD-Schwelle",2.1,8.76,TRUE,TRUE,132
"An_der_Kost","2025/11/15 00:51:00","2025/11/15 01:25:00",0.5,"2025/11/15 00:55:00",34,0.122,"Leichter Regen / Unterhalb DWD-Schwelle",1.72,3.36,TRUE,TRUE,35
"An_der_Kost","2025/11/10 21:33:00","2025/11/10 23:23:00",0.23,"2025/11/10 21:57:00",110,0.01,"Leichter Regen / Unterhalb DWD-Schwelle",1.61,9.72,TRUE,TRUE,111
"An_der_Kost","2025/11/01 13:10:00","2025/11/01 14:30:00",0.38,"2025/11/01 13:38:00",80,0.013,"Leichter Regen / Unterhalb DWD-Schwelle",1.02,3,TRUE,TRUE,81
"An_der_Kost","2025/10/29 22:54:00","2025/10/30 01:01:00",0.32,"2025/10/29 23:03:00",127,0.036,"Leichter Regen / Unterhalb DWD-Schwelle",4.78,5.76,TRUE,TRUE,128
"An_der_Kost","2025/10/28 06:42:00","2025/10/28 10:21:00",0.47,"2025/10/28 08:36:00",219,0.004,"Leichter Regen / Unterhalb DWD-Schwelle",0.54,1.2,TRUE,TRUE,221
"An_der_Kost","2025/10/25 14:59:00","2025/10/25 15:15:00",0.22,"2025/10/25 15:09:00",16,0.022,"Leichter Regen / Unterhalb DWD-Schwelle",3.25,6.24,TRUE,TRUE,17
"An_der_Kost","2025/10/23 16:56:00","2025/10/23 17:45:00",0.47,"2025/10/23 17:20:00",49,0.019,"Leichter Regen / Unterhalb DWD-Schwelle",0.52,2.4,TRUE,TRUE,50
"An_der_Kost","2025/10/23 13:31:00","2025/10/23 14:49:00",0.3,"2025/10/23 14:08:00",78,0.008,"Leichter Regen / Unterhalb DWD-Schwelle",0.23,0.84,TRUE,TRUE,80
"An_der_Kost","2025/10/23 03:37:00","2025/10/23 03:45:00",0.28,"2025/10/23 03:40:00",8,0.089,"Leichter Regen / Unterhalb DWD-Schwelle",3.47,6.6,TRUE,TRUE,9
"An_der_Kost","2025/10/04 05:29:00","2025/10/04 11:32:00",0.41,"2025/10/04 08:28:00",363,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",6.47,10.92,TRUE,TRUE,365
"An_der_Kost","2025/10/03 21:35:00","2025/10/04 00:40:00",0.27,"2025/10/03 23:55:00",185,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",1.93,1.2,TRUE,TRUE,186
"An_der_Kost","2025/09/26 06:12:00","2025/09/26 22:50:00",0.27,"2025/09/26 22:02:00",998,0,"Leichter Regen / Unterhalb DWD-Schwelle",0.65,5.52,TRUE,TRUE,1001
"An_der_Kost","2025/09/25 16:38:00","2025/09/25 17:04:00",0.22,"2025/09/25 16:44:00",26,0.037,"Leichter Regen / Unterhalb DWD-Schwelle",1.05,7.08,TRUE,TRUE,27
"An_der_Kost","2025/09/14 22:58:00","2025/09/15 16:32:00",0.78,"2025/09/15 10:02:00",1054,0.001,"Leichter Regen / Unterhalb DWD-Schwelle",0.86,3.24,TRUE,TRUE,1056
"An_der_Kost","2025/09/14 04:49:00","2025/09/14 08:34:00",0.24,"2025/09/14 07:24:00",225,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",0.78,3.24,TRUE,TRUE,226
"An_der_Kost","2025/09/13 06:13:00","2025/09/14 02:33:00",0.44,"2025/09/13 21:37:00",1220,0,"Leichter Regen / Unterhalb DWD-Schwelle",6.45,14.4,TRUE,TRUE,1223
"An_der_Kost","2025/09/09 02:30:00","2025/09/10 00:47:00",0.38,"2025/09/09 05:21:00",1337,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",20.13,10.32,TRUE,TRUE,1340
"An_der_Kost","2025/09/05 08:36:00","2025/09/06 05:47:00",0.29,"2025/09/05 11:25:00",1271,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",2.47,7.2,TRUE,TRUE,1276
