"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","total_precip_mm","max_intensity_mm_h","radolan_verified","points_count"
"Herzogstraße","2025/12/04 04:22:00","2025/12/04 07:18:00",0.9,"2025/12/04 05:56:00",176,0.01,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,114
"Herzogstraße","2025/11/16 12:45:00","2025/11/16 15:09:00",3.3,"2025/11/16 12:54:00",144,0.363,"Regenereignis / Natürlich",NA,NA,NA,111
"Herzogstraße","2025/11/16 09:45:00","2025/11/16 11:34:00",2.1,"2025/11/16 10:11:00",109,0.08,"Regenereignis / Natürlich",NA,NA,NA,66
"Herzogstraße","2025/11/12 11:07:00","2025/11/12 11:58:00",16.7,"2025/11/12 11:46:00",51,0.427,"Regenereignis / Natürlich",NA,NA,NA,29
"Herzogstraße","2025/11/01 11:29:00","2025/11/01 14:12:00",2.3,"2025/11/01 13:48:00",163,0.017,"Regenereignis / Natürlich",NA,NA,NA,80
"Herzogstraße","2025/10/26 20:33:00","2025/10/26 21:17:00",0.7,"2025/10/26 21:09:00",44,0.019,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,9
"Herzogstraße","2025/10/21 10:49:00","2025/10/21 11:37:00",0.9,"2025/10/21 11:33:00",48,0.02,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,19
"Herzogstraße","2025/10/16 12:30:00","2025/10/16 13:17:00",1.6,"2025/10/16 12:34:00",47,0.39,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,44
"Herzogstraße","2025/10/16 04:43:00","2025/10/16 05:51:00",1.7,"2025/10/16 05:21:00",68,0.045,"Leichter Regen / Unterhalb DWD-Schwelle",NA,NA,NA,42
"Herzogstraße","2025/10/15 21:59:00","2025/10/15 22:24:00",1.9,"2025/10/15 22:02:00",25,0.613,"Sturzflut-Ereignis",NA,NA,NA,26
"Herzogstraße","2025/10/13 05:15:00","2025/10/13 07:26:00",38,"2025/10/13 06:02:00",131,0.807,"Sturzflut-Ereignis",NA,NA,NA,81
"Herzogstraße","2025/10/10 05:39:00","2025/10/10 07:56:00",35.1,"2025/10/10 06:32:00",137,0.661,"Sturzflut-Ereignis",NA,NA,NA,82
